message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=1.768817, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.861468724";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.774129, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.845037990";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.768817, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.844818040";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.779441, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.829691215";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.774129, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.828354312";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.784753, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.813410994";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.779441, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.812085193";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.768821, y=-0.031556])";"30";"turtlesim1.sim";"1757850156.810961930";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.790065, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.797129763";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.784753, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.796786032";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.790065, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.780491210";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.928179, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.380931727";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
